


Interface,Neighbor IP Address,MAC Address,Type,Origin,Age,Protocol
GigabitEthernet2,172.16.252.21,5254.001e.d479,ARPA,static,-,Internet
GigabitEthernet3,172.16.252.25,5254.0006.f7ce,ARPA,static,-,Internet
GigabitEthernet4,172.16.252.1,5254.000d.e743,ARPA,dynamic,5,Internet
GigabitEthernet4,172.16.252.2,5254.000e.7bb9,ARPA,static,-,Internet
GigabitEthernet5,172.16.252.10,5254.0016.7077,ARPA,static,-,Internet
GigabitEthernet5,172.16.252.9,5254.0004.4185,ARPA,dynamic,5,Internet
GigabitEthernet6,172.16.252.17,5254.0015.ac8a,ARPA,static,-,Internet
GigabitEthernet6,172.16.252.18,5254.000c.8b4c,ARPA,dynamic,138,Internet
