

Attributes,Chassis,Chassis Serial Number,Commands,Config Register,Connections,Context Manager,Directory,Image,ISSU Roll Back Timer Reason,ISSU Rollback Timer State,Main Memory,Operating System,Redundancy Communication,Redundancy Mode,RP Uptime,Router Type,Switchover Reason,Version
None,CSR1000V,9Y23RGWSFML,None,0x2102,None,{},bootflash:/,bootflash:packages.conf,no ISSU operation is in progress,inactive,1105351,iosxe,False,Non-redundant,7980,CSR1000V,none,17.3.2
Slot,Sub-Slot,Name,Serial Number,State,Config Register,ISSU In Progress,Redundancy State,RP Uptime,System Image
oc,F0,CSR1000V,,ok  active,N/A,N/A,N/A,N/A,N/A
rp,R0,CSR1000V,JAB1303001C,ok  active,0x2102,False,ACTIVE,2 hours  13 minutes,Cisco IOS Software [Amsterdam]  Virtual XE Software (X86_64_LINUX_IOSD-UNIVERSALK9-M)  Version 17.3.2  RELEASE SOFTWARE (fc3)
